course_id,course_name,course_code,sessions,department,teacher_id,teacher_name,section_id,section_name,semester,strength
C001,Microprocessor Systems,CE342,3,Computer Science & Engineering,T001,Dr. Ahmed Raza,S001,CS-A,3,45
C002,Discrete Mathematics,CS272,2,Computer Science & Engineering,T002,Dr. Usman Akram,S002,CS-C,2,33
C003,Signals & Systems,CE313,3,Computer Science & Engineering,T003,Dr. Faisal Shafait,S003,CS-D,3,43
C004,Design & Analysis of Algorithms,CS322,3,Computer Science & Engineering,T004,Dr. Sohail Aslam,S004,CS-D,3,39
C005,Natural Language Processing,CS478,3,Computer Science & Engineering,T005,Dr. Naveed Iqbal,S005,CS-E,4,50
C006,Deep Learning,CS464,3,Computer Science & Engineering,T006,Dr. Waqar Mahmood,S006,CS-D,4,47
C007,Circuit Analysis,CE222,3,Computer Science & Engineering,T007,Dr. Kashif Javed,S007,CS-E,2,50
C008,Computer Organization & Assembly,CS232,3,Computer Science & Engineering,T008,Dr. Zubair Nawaz,S008,CS-F,2,30
C009,Circuit Analysis,CE222,3,Computer Science & Engineering,T007,Dr. Kashif Javed,S009,CS-F,2,48
C010,Software Requirements Engineering,SE211,3,Computer Science & Engineering,T009,Dr. Imran Malik,S010,CS-A,2,43
C011,Signals & Systems,CE313,3,Computer Science & Engineering,T003,Dr. Faisal Shafait,S011,CS-E,3,44
C012,Electronic Devices & Circuits,CE231,3,Computer Science & Engineering,T010,Dr. Saad Razzaq,S012,CS-A,2,43
C013,Natural Language Processing,CS478,1,Computer Science & Engineering,T005,Dr. Naveed Iqbal,S013,CS-A,4,38
C014,Software Project Management,CS392,3,Computer Science & Engineering,T011,Mr. Bilal Hassan,S014,CS-B,3,30
C015,Computer Graphics,CS378,3,Computer Science & Engineering,T012,Ms. Amna Shafiq,S015,CS-F,3,33
C016,Computer Organization & Assembly,CS232,3,Computer Science & Engineering,T008,Dr. Zubair Nawaz,S016,CS-C,2,32
C017,Electronics-II,EE241,3,Electrical Engineering,T101,Dr. Shahid Mehmood,S017,EE-A,2,49
C018,Electronics-I,EE231,3,Electrical Engineering,T102,Dr. Tariq Javaid,S018,EE-A,2,42
C019,Electronics-II,EE241,3,Electrical Engineering,T101,Dr. Shahid Mehmood,S019,EE-B,2,33
C020,Electronics-I,EE231,3,Electrical Engineering,T102,Dr. Tariq Javaid,S020,EE-B,2,50
C021,Power Electronics,EE413,3,Electrical Engineering,T103,Dr. Rehan Ullah,S021,EE-A,4,38
C022,High Voltage Engineering,EE425,3,Electrical Engineering,T104,Dr. Nasir Saleem,S022,EE-A,4,38
C023,Wireless Communications,EE454,3,Electrical Engineering,T105,Dr. Muhammad Usman,S023,EE-A,4,44
C024,Digital Signal Processing,EE361,3,Electrical Engineering,T106,Dr. Amir Hussain,S024,EE-A,3,42
C025,Electromagnetic Theory,EE223,3,Electrical Engineering,T107,Dr. Zafar Abbas,S025,EE-B,2,45
C026,Power Systems,EE332,3,Electrical Engineering,T108,Dr. Nadeem Iqbal,S026,EE-A,3,44
C027,Communication Systems,EE351,3,Electrical Engineering,T109,Dr. Omer Saleem,S027,EE-A,3,48
C028,Digital Signal Processing,EE361,3,Electrical Engineering,T106,Dr. Amir Hussain,S028,EE-B,3,45
C029,Power Systems,EE332,3,Electrical Engineering,T108,Dr. Nadeem Iqbal,S029,EE-C,3,43
C030,Communication Systems,EE351,3,Electrical Engineering,T109,Dr. Omer Saleem,S030,EE-C,3,34
C031,Control Systems,EE313,3,Electrical Engineering,T110,Mr. Kamran Ali,S031,EE-A,3,48
C032,Electromagnetic Theory,EE223,3,Electrical Engineering,T107,Dr. Zafar Abbas,S032,EE-A,2,41
C033,Instrumentation & Measurement,EE314,2,Electrical Engineering,T111,Dr. Asif Raza,S033,EE-A,3,38
C034,Electrical Machines,EE212,3,Electrical Engineering,T112,Ms. Hira Baig,S034,EE-B,2,42
C035,Power Systems,EE332,3,Electrical Engineering,T108,Dr. Nadeem Iqbal,S035,EE-B,3,30
C036,Electrical Machines,EE212,3,Electrical Engineering,T112,Ms. Hira Baig,S036,EE-A,2,40
C037,Antenna & Microwave Engg,EE428,3,Electrical Engineering,T101,Dr. Shahid Mehmood,S037,EE-A,4,30
C038,Engineering Physics,PH101,3,Electrical Engineering,T102,Dr. Tariq Javaid,S038,EE-D+E,1,49
C039,Calculus II,MT102,1,Electrical Engineering,T103,Dr. Rehan Ullah,S039,EE-G,1,48
C040,Calculus II,MT102,1,Electrical Engineering,T103,Dr. Rehan Ullah,S040,EE-D,1,41
C041,Engineering Economics,ES361,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S041,ES-A,3,37
C042,Calculus I,MT101,3,Engineering Sciences,T202,Dr. Noman Alam,S042,ES-A,1,44
C043,Linear Algebra,MT203,3,Engineering Sciences,T203,Dr. Aamir Shehzad,S043,ES-A,2,30
C044,Finite Element Methods,ES443,3,Engineering Sciences,T204,Dr. Rashid Khan,S044,ES-A,4,38
C045,Optimization Techniques,ES445,3,Engineering Sciences,T205,Dr. Waseem Abbas,S045,ES-A,4,47
C046,Probability & Statistics,ES325,3,Engineering Sciences,T206,Ms. Sana Ullah,S046,ES-A,3,47
C047,Computational Fluid Dynamics,ES446,3,Engineering Sciences,T207,Dr. Pervaiz Ahmed,S047,ES-A,4,38
C048,Advanced Engineering Mathematics,ES447,3,Engineering Sciences,T208,Dr. Khalid Mehmood,S048,ES-A,4,31
C049,Calculus II,MT102,2,Engineering Sciences,T103,Dr. Rehan Ullah,S049,ES-J,1,43
C050,Engineering Drawing,ES111,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S050,ES-H,1,50
C051,Engineering Drawing,ES111,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S051,ES-F,1,37
C052,Engineering Drawing,ES111,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S052,ES-E,1,32
C053,Engineering Drawing,ES111,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S053,ES-G,1,42
C054,Engineering Drawing,ES111,3,Engineering Sciences,T201,Dr. Junaid Ahmed,S054,ES-I+J,1,46
C055,Software Engineering,CS292,1,Computer Science & Engineering,T013,Dr. Hamid Khan,S055,CS-C,2,33
C056,Advanced Data Science,DS462,3,Computer Science & Engineering,T014,Mr. Raheel Ahmed,S056,CS-A,4,32
C057,Information Security,CS444,3,Computer Science & Engineering,T015,Dr. Salman Qadri,S057,CS-A,4,44
C058,Reinforcement Learning,AI311,3,Computer Science & Engineering,T001,Dr. Ahmed Raza,S058,CS-A,3,45
C059,Special Topics in Data Science,DS3XX,3,Computer Science & Engineering,T002,Dr. Usman Akram,S059,CS-A,3,49
C060,Theory of Automata,CS343,3,Computer Science & Engineering,T003,Dr. Faisal Shafait,S060,CS-A,3,39
C061,Signals & Systems,CE313,3,Computer Science & Engineering,T003,Dr. Faisal Shafait,S061,CS-B,3,43
C062,Circuit Analysis,CE222,3,Computer Science & Engineering,T007,Dr. Kashif Javed,S062,CS-C,2,50
C063,Computer Networks,CS324,3,Computer Science & Engineering,T004,Dr. Sohail Aslam,S063,CS-C,3,39
C064,Compiler Construction,CS354,3,Computer Science & Engineering,T005,Dr. Naveed Iqbal,S064,CS-C,3,47
C065,Deep Learning,CS464,3,Computer Science & Engineering,T006,Dr. Waqar Mahmood,S065,CS-A,4,39
C066,Computer Organization & Assembly,CS232,3,Computer Science & Engineering,T008,Dr. Zubair Nawaz,S066,CS-E,2,42
C067,Neural Networks,AI221,3,Computer Science & Engineering,T006,Dr. Waqar Mahmood,S067,CS-A,2,41
